applicant_id,race_ethnicity,annual_income,loan_amount,actual_outcome,model_predicted_prob
168,White,127226,216804,1,0.9756
169,Black,75928,294200,1,0.4586
170,White,86419,266247,1,0.7875
171,White,93786,328831,1,0.7191
172,White,82830,223575,0,0.5659
173,White,75271,294079,1,0.5393
174,White,89151,295165,0,0.8171
175,Black,114737,362731,1,0.8409
176,Black,90261,215482,1,0.7408
177,Black,64070,414659,0,0.2503
178,White,77890,223758,1,0.514
179,Black,65014,328660,0,0.2099
180,Black,59968,281903,1,0.22
181,White,92240,205509,0,0.7136
182,White,96626,231021,1,0.8128
183,Black,37552,394628,0,0.0753
184,Black,88943,209095,0,0.6216
185,Black,72498,322288,0,0.4441
186,White,70797,195218,0,0.3697
187,White,49246,354801,0,0.1256
188,White,60588,149807,0,0.2064
189,White,71615,174791,1,0.4475
190,White,108238,247304,1,0.9407
191,Black,65125,183302,0,0.2649
192,Black,64557,377551,0,0.314
193,White,76841,259857,1,0.4932
194,Black,62186,318946,0,0.2298
195,White,85242,409314,0,0.638
196,White,103618,320335,0,0.8889
197,White,74536,242628,1,0.5175
198,White,103982,254911,1,0.9026
199,Black,76271,361248,0,0.3877
200,White,102079,286049,1,0.8143
